Ticker Symbol,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income,EPS Diluted,Weighted Average Shs Out,Divident Per Share,Gross Margin,Consolidated Income,Net Profit Margin
AAPL,2019-09-28,2.60174e+11,-0.0204107758053,1.61782e+11,98392000000.0,16217000000.0,18245000000.0,34462000000.0,63930000000.0,3576000000.0,65737000000.0,10481000000.0,55256000000.0,11.89,4617834000.0,3.03705403822,0.37817768109,55256000000.0,0.21238094506
AAPL,2018-09-29,2.65595e+11,0.158619576503,1.63756e+11,1.01839e+11,14236000000.0,16705000000.0,30941000000.0,70898000000.0,3240000000.0,72903000000.0,13372000000.0,59531000000.0,11.91,4955377000.0,2.74234021698,0.3834371882,59531000000.0,0.224142020746
AAPL,2017-09-30,2.29234e+11,0.063045181994,1.41048e+11,88186000000.0,11581000000.0,15261000000.0,26842000000.0,61344000000.0,2323000000.0,64089000000.0,15738000000.0,48351000000.0,9.21,5217242000.0,2.43140686849,0.384698604919,48351000000.0,0.210924208451
AAPL,2016-09-24,2.15639e+11,-0.077342061913,1.31376e+11,84263000000.0,10045000000.0,14194000000.0,24239000000.0,60024000000.0,1456000000.0,61372000000.0,15685000000.0,45687000000.0,8.31,5470820000.0,2.20897805039,0.390759556481,45687000000.0,0.211867983064
AXP,2019-12-31,43556000000.0,0.0797758936982,0.0,0.0,0.0,5911000000.0,5911000000.0,8429000000.0,3464000000.0,8429000000.0,1670000000.0,6759000000.0,7.99,828000000.0,1.71325301205,0.0,6759000000.0,0.155179538984
AXP,2018-12-31,40338000000.0,0.205162678139,0.0,0.0,0.0,5250000000.0,5250000000.0,8122000000.0,2943000000.0,8122000000.0,1201000000.0,6921000000.0,7.91,856000000.0,1.54132712456,0.0,6921000000.0,0.171575189647
AXP,2017-12-31,33471000000.0,4.79986137584,0.0,0.0,276000000.0,5258000000.0,5534000000.0,7414000000.0,2112000000.0,7414000000.0,4678000000.0,2736000000.0,2.97,883000000.0,1.41196388262,0.0,2736000000.0,0.081742403872
AXP,2016-12-31,5771000000.0,-0.0254981425194,0.0,0.0,302000000.0,5259000000.0,5561000000.0,8096000000.0,1704000000.0,8096000000.0,2688000000.0,5408000000.0,5.65,933000000.0,1.29090909091,0.0,5408000000.0,0.937099289551
BA,2019-12-31,76559000000.0,0.0,72093000000.0,4466000000.0,3219000000.0,3909000000.0,7128000000.0,-1975000000.0,722000000.0,-2259000000.0,-1623000000.0,-636000000.0,-1.12,565400000.0,8.18021201413,0.0583340952729,-636000000.0,-0.00830731853864
BA,2018-12-31,1.01127e+11,0.0,81490000000.0,19637000000.0,3269000000.0,4567000000.0,7836000000.0,11987000000.0,475000000.0,11604000000.0,1144000000.0,10460000000.0,17.85,579200000.0,6.80462148646,0.194181573665,10460000000.0,0.10343429549
BA,2017-12-31,93392000000.0,0.0,76066000000.0,17326000000.0,3179000000.0,4094000000.0,7273000000.0,10278000000.0,360000000.0,10047000000.0,1850000000.0,8197000000.0,13.43,602500000.0,5.66478779841,0.185519102279,8197000000.0,0.0877698303923
BA,2016-12-31,94571000000.0,0.0,80790000000.0,13781000000.0,4627000000.0,3616000000.0,8243000000.0,5834000000.0,306000000.0,5568000000.0,673000000.0,4895000000.0,7.61,635500000.0,4.32992930086,0.145721204175,4895000000.0,0.0517600532933
CAT,2019-12-31,53800000000.0,-0.016848799386,36630000000.0,17170000000.0,1693000000.0,5162000000.0,45510000000.0,8290000000.0,0.0,7812000000.0,1746000000.0,6093000000.0,10.74,561600000.0,3.75682819383,0.319144981413,6093000000.0,0.113252788104
CAT,2018-12-31,54722000000.0,0.203686595398,36997000000.0,17725000000.0,1850000000.0,5478000000.0,46429000000.0,8293000000.0,0.0,5667000000.0,1698000000.0,6147000000.0,10.26,591400000.0,3.25492158825,0.323909944812,6147000000.0,0.112331420635
CAT,2017-12-31,45462000000.0,0.179697433635,31049000000.0,14413000000.0,1905000000.0,5177000000.0,41056000000.0,4406000000.0,0.0,4082000000.0,3339000000.0,754000000.0,1.26,591800000.0,3.05523110295,0.317034006423,754000000.0,0.0165852800141
CAT,2016-12-31,38537000000.0,-0.18025568484,28309000000.0,10228000000.0,1951000000.0,4686000000.0,38039000000.0,498000000.0,0.0,139000000.0,192000000.0,-67000000.0,-0.11,584300000.0,3.07889782646,0.265407270934,-67000000.0,-0.0017385888886
CSCO,2019-07-27,51904000000.0,0.0521792012974,19238000000.0,32666000000.0,6577000000.0,11398000000.0,18447000000.0,14219000000.0,859000000.0,14571000000.0,2950000000.0,11621000000.0,2.61,4419000000.0,1.34269032113,0.629354192355,11621000000.0,0.223894112207
CSCO,2018-07-28,49330000000.0,0.0276012915321,18724000000.0,30606000000.0,6332000000.0,11386000000.0,18297000000.0,12309000000.0,943000000.0,13039000000.0,12929000000.0,110000000.0,0.02,4837000000.0,1.22925629994,0.620433813095,110000000.0,0.00222988039732
CSCO,2017-07-29,48005000000.0,-0.0252198103438,17781000000.0,30224000000.0,6059000000.0,11177000000.0,18251000000.0,11973000000.0,861000000.0,12287000000.0,2678000000.0,9609000000.0,1.9,5010000000.0,1.09150326797,0.62960108322,9609000000.0,0.200166649307
CSCO,2016-07-30,49247000000.0,0.00174935416285,18287000000.0,30960000000.0,6296000000.0,11433000000.0,18300000000.0,12660000000.0,676000000.0,12920000000.0,2181000000.0,10739000000.0,2.11,5053000000.0,0.93356918239,0.628667736106,10739000000.0,0.21806404451
CVX,2019-12-31,1.46516e+11,-0.119172292728,80113000000.0,66403000000.0,770000000.0,4143000000.0,5330000000.0,5536000000.0,761000000.0,5536000000.0,2691000000.0,2924000000.0,1.54,1882000000.0,4.72770448549,0.453213300936,2924000000.0,0.0199568647793
CVX,2018-12-31,1.66339e+11,0.173699213954,94578000000.0,71761000000.0,1210000000.0,3838000000.0,5608000000.0,20575000000.0,713000000.0,20575000000.0,5715000000.0,14824000000.0,7.74,1898000000.0,4.44200626959,0.431414160239,14824000000.0,0.0891192083636
CVX,2017-12-31,1.41722e+11,0.238049479349,19437000000.0,1.22285e+11,864000000.0,4448000000.0,5312000000.0,9221000000.0,264000000.0,9221000000.0,-48000000.0,9195000000.0,4.85,1883000000.0,4.28451001054,0.86285121576,9195000000.0,0.064880540777
CVX,2016-12-31,1.14472e+11,-0.173350087018,20268000000.0,94204000000.0,1033000000.0,4684000000.0,5717000000.0,-2160000000.0,168000000.0,-2160000000.0,-1729000000.0,-497000000.0,-0.27,1873000000.0,4.28830752803,0.822943601929,-497000000.0,-0.00434167307289
DIS,2019-09-28,69570000000.0,0.170542113942,36450000000.0,33120000000.0,0.0,11541000000.0,10563000000.0,13944000000.0,1246000000.0,13944000000.0,3031000000.0,11054000000.0,6.64,1656000000.0,1.73769507803,0.476067270375,11054000000.0,0.15889032629
DIS,2018-09-29,59434000000.0,0.0779331483396,32726000000.0,26708000000.0,0.0,8860000000.0,11904000000.0,14804000000.0,574000000.0,14261000000.0,1663000000.0,12598000000.0,8.36,1487242596.0,1.68,0.4494,13066000000.0,0.212
DIS,2017-09-30,55137000000.0,-0.0088977566868,30306000000.0,24831000000.0,0.0,8176000000.0,11056000000.0,13775000000.0,385000000.0,13402000000.0,4422000000.0,8980000000.0,5.69,1543480961.0,1.56,0.4504,9366000000.0,0.1629
DIS,2016-10-01,55632000000.0,0.0603640522253,29993000000.0,25639000000.0,0.0,8754000000.0,11437000000.0,14202000000.0,260000000.0,14469000000.0,5078000000.0,9391000000.0,5.73,1607101183.0,1.42,0.4609,9790000000.0,0.1688
DOW,2019-12-31,42951000000.0,-0.287451474833,36657000000.0,6294000000.0,765000000.0,1590000000.0,2774000000.0,-1247000000.0,0.0,-1247000000.0,470000000.0,-1359000000.0,-1.84,742500000.0,0.720538720539,0.146539079416,-1359000000.0,-0.031640706852
DOW,2018-12-31,60278000000.0,0.0859335591266,47705000000.0,12573000000.0,1536000000.0,2846000000.0,6487000000.0,6086000000.0,1118000000.0,5784000000.0,1285000000.0,4499000000.0,6.03,751587352.0,0.0,0.2086,4633000000.0,0.0746
DOW,2017-12-31,55508000000.0,0.152622617218,43612000000.0,11896000000.0,1648000000.0,2920000000.0,8883000000.0,3013000000.0,976000000.0,2670000000.0,2204000000.0,466000000.0,0.63,751587352.0,0.0,0.2143,595000000.0,0.0084
DOW,2016-12-31,48158000000.0,-0.0127106482431,37668000000.0,10490000000.0,1593000000.0,2953000000.0,5661000000.0,4829000000.0,858000000.0,4327000000.0,9000000.0,4318000000.0,5.76,,0.0,0.2178,4404000000.0,0.0897
GS,2018-12-31,36616000000.0,0.141645620927,0.0,0.0,1023000000.0,12328000000.0,13351000000.0,12481000000.0,15912000000.0,12481000000.0,2022000000.0,10459000000.0,25.27,385400000.0,4.63864684777,0.0,10459000000.0,0.285640157308
GS,2017-12-31,32073000000.0,0.0478633037114,0.0,0.0,897000000.0,11853000000.0,12750000000.0,11132000000.0,10181000000.0,11132000000.0,6846000000.0,4286000000.0,9.01,401600000.0,4.32412613053,0.0,4286000000.0,0.133632650516
GS,2016-12-31,30608000000.0,-0.0949733885275,0.0,0.0,809000000.0,11647000000.0,12456000000.0,10304000000.0,7104000000.0,10304000000.0,2906000000.0,7398000000.0,16.29,427400000.0,3.92093771547,0.0,7398000000.0,0.241701515944
GS,2015-12-31,33820000000.0,-0.0205050973123,0.0,0.0,806000000.0,12678000000.0,13484000000.0,8778000000.0,5388000000.0,8778000000.0,2695000000.0,6083000000.0,12.14,448900000.0,3.66550370693,0.0,6083000000.0,0.179863985807
HD,2020-02-02,1.10225e+11,0.0186870974003,72653000000.0,37572000000.0,0.0,19740000000.0,21729000000.0,15843000000.0,1201000000.0,14715000000.0,3473000000.0,11242000000.0,10.25,1093000000.0,5.43117593437,0.340866409617,11242000000.0,0.101991381266
HD,2019-02-03,1.08203e+11,0.0723360818203,71043000000.0,37160000000.0,0.0,19513000000.0,21630000000.0,15530000000.0,1051000000.0,14556000000.0,3435000000.0,11121000000.0,9.73,1137000000.0,4.1154855643,0.343428555585,11121000000.0,0.102779035701
HD,2018-01-28,1.00904e+11,0.066694857022,66548000000.0,34356000000.0,0.0,17864000000.0,19675000000.0,14681000000.0,1057000000.0,13698000000.0,5068000000.0,8630000000.0,7.29,1178000000.0,3.55743243243,0.340482042337,8630000000.0,0.08552683739
HD,2017-01-29,94595000000.0,0.068640630825,62282000000.0,32313000000.0,0.0,17132000000.0,18886000000.0,13427000000.0,972000000.0,12491000000.0,4534000000.0,7957000000.0,6.45,1229000000.0,2.7585089141,0.341593107458,7957000000.0,0.0841164966436
IBM,2019-12-31,77147000000.0,-0.0307069894837,40659000000.0,36488000000.0,5989000000.0,20604000000.0,26593000000.0,10166000000.0,1344000000.0,10166000000.0,731000000.0,9431000000.0,10.56,887235105.0,6.3921533362,0.472967192503,9431000000.0,0.12224713858
IBM,2018-12-31,79591000000.0,0.00571146969257,42655000000.0,36936000000.0,5379000000.0,19366000000.0,24745000000.0,11342000000.0,723000000.0,11342000000.0,2619000000.0,8728000000.0,9.52,912048072.0,6.18345829219,0.464072571019,8728000000.0,0.109660640022
IBM,2017-12-31,79139000000.0,-0.0097598818804,42913000000.0,36227000000.0,5787000000.0,20107000000.0,25894000000.0,11400000000.0,615000000.0,11400000000.0,5642000000.0,5753000000.0,6.14,932828295.0,5.87378326823,0.457764187063,5753000000.0,0.0726948786313
IBM,2016-12-31,79919000000.0,-0.0222899157094,41625000000.0,38294000000.0,5751000000.0,21069000000.0,26820000000.0,12330000000.0,630000000.0,12330000000.0,449000000.0,11872000000.0,12.38,955422530.0,5.48234350204,0.479160149652,11872000000.0,0.148550407287
INTC,2019-12-28,71965000000.0,0.0157661472448,29825000000.0,42140000000.0,13362000000.0,6150000000.0,20105000000.0,22035000000.0,489000000.0,24058000000.0,3010000000.0,21048000000.0,4.71,4417000000.0,1.24659065504,0.585562426179,21048000000.0,0.292475508928
INTC,2018-12-29,70848000000.0,0.128853906088,27111000000.0,43737000000.0,13543000000.0,6750000000.0,20421000000.0,23316000000.0,468000000.0,23317000000.0,2264000000.0,21053000000.0,4.48,4611000000.0,1.17868538609,0.617335704607,21053000000.0,0.29715729449
INTC,2017-12-30,62761000000.0,0.0568137807938,23692000000.0,39069000000.0,13098000000.0,7474000000.0,21133000000.0,17936000000.0,646000000.0,20352000000.0,10751000000.0,9601000000.0,1.99,4701000000.0,1.04901758014,0.622504421536,9601000000.0,0.152977167349
INTC,2016-12-31,59387000000.0,0.0728389486045,23196000000.0,36191000000.0,12740000000.0,8397000000.0,23317000000.0,12874000000.0,733000000.0,12936000000.0,2620000000.0,10316000000.0,2.12,4730000000.0,1.01025641026,0.609409466718,10316000000.0,0.173708050583
JNJ,2019-12-29,82059000000.0,0.00585920741349,27556000000.0,54503000000.0,11355000000.0,22178000000.0,33533000000.0,15119000000.0,318000000.0,14450000000.0,2209000000.0,15119000000.0,5.63,2645100000.0,3.69444547927,0.664192836861,15119000000.0,0.184245481909
JNJ,2018-12-31,81581000000.0,0.0,27091000000.0,54490000000.0,10775000000.0,22540000000.0,33315000000.0,17999000000.0,1005000000.0,17999000000.0,2702000000.0,15297000000.0,5.61,2681500000.0,3.47931249313,0.667925129626,15297000000.0,0.187506894988
JNJ,2018-12-30,81581000000.0,0.0671157619359,27091000000.0,54490000000.0,10775000000.0,22540000000.0,32831000000.0,19798000000.0,934000000.0,17999000000.0,2702000000.0,1300000000.0,5.61,2681977969.0,3.32,0.6679,1300000000.0,0.017
JNJ,2017-12-31,76450000000.0,0.0634302406454,25354000000.0,51096000000.0,10554000000.0,21420000000.0,31974000000.0,17673000000.0,934000000.0,17673000000.0,16373000000.0,1300000000.0,0.47,2692000000.0,3.25756747896,0.668358404186,1300000000.0,0.0170045781557
JPM,2019-12-31,1.15627e+11,0.0605160095021,0.0,0.0,9821000000.0,34155000000.0,43976000000.0,44545000000.0,26795000000.0,44545000000.0,8114000000.0,36431000000.0,10.72,3221500000.0,3.82088905399,0.0,36431000000.0,0.315073468999
JPM,2018-12-31,1.09029e+11,0.0944049626596,0.0,0.0,8802000000.0,33117000000.0,41919000000.0,40764000000.0,22383000000.0,40764000000.0,8290000000.0,32474000000.0,9.0,3396400000.0,2.96104276508,0.0,32474000000.0,0.297847361711
JPM,2017-12-31,99624000000.0,0.041351340051,0.0,0.0,7706000000.0,31009000000.0,38715000000.0,35900000000.0,14275000000.0,35900000000.0,11459000000.0,24441000000.0,6.31,3551600000.0,2.51425855513,0.0,24441000000.0,0.245332450012
JPM,2016-12-31,95668000000.0,0.0227168254172,0.0,0.0,6846000000.0,29979000000.0,36825000000.0,34536000000.0,9818000000.0,34536000000.0,9803000000.0,24733000000.0,6.19,3618500000.0,2.32231903118,0.0,24733000000.0,0.258529497847
KO,2019-12-31,37266000000.0,0.169826720241,14619000000.0,22647000000.0,0.0,12103000000.0,12103000000.0,10086000000.0,946000000.0,10786000000.0,1801000000.0,8920000000.0,2.07,4276000000.0,1.58669448308,0.607712123652,8920000000.0,0.239360274781
KO,2018-12-31,31856000000.0,-0.10036712793,11770000000.0,20086000000.0,0.0,10307000000.0,10307000000.0,8700000000.0,919000000.0,8350000000.0,1623000000.0,6434000000.0,1.5,4259000000.0,1.54547569202,0.630524861878,6434000000.0,0.20197137117
KO,2017-12-31,35410000000.0,-0.154145665624,13256000000.0,22154000000.0,0.0,12496000000.0,12496000000.0,7501000000.0,841000000.0,6742000000.0,5560000000.0,1248000000.0,0.29,4272000000.0,1.46160962072,0.625642473877,1248000000.0,0.0352442812765
