Ticker Symbol,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income,EPS Diluted,Weighted Average Shs Out,Divident Per Share,Gross Margin,Consolidated Income,Net Profit Margin
KO,2016-12-31,41863000000.0,-0.0548832799025,16465000000.0,25398000000.0,0.0,15262000000.0,15262000000.0,8626000000.0,733000000.0,8136000000.0,1586000000.0,6527000000.0,1.49,4317000000.0,1.38378749714,0.606693261353,6527000000.0,0.155913336359
MCD,2019-12-31,21076500000.0,0.00243992922778,0.0,0.0,0.0,2229400000.0,6689800000.0,9069800000.0,1121900000.0,8018100000.0,1992700000.0,6025400000.0,7.88,758100000.0,4.68283435743,0.0,6025400000.0,0.285882380851
MCD,2018-12-31,21025200000.0,-0.0786664563285,0.0,0.0,0.0,2200200000.0,4611200000.0,8822600000.0,981200000.0,7816100000.0,1891800000.0,5924300000.0,7.54,778200000.0,4.14447556008,0.0,5924300000.0,0.281771398132
MCD,2017-12-31,22820400000.0,-0.0731665712232,0.0,0.0,0.0,2231300000.0,6242100000.0,9552700000.0,921300000.0,8573500000.0,3381200000.0,5192300000.0,6.37,807400000.0,3.78810545677,0.0,5192300000.0,0.227528877671
MCD,2016-12-31,24621900000.0,-0.0311297367489,0.0,0.0,0.0,2384500000.0,5976500000.0,7744500000.0,884800000.0,6866000000.0,2179500000.0,4686500000.0,5.44,854400000.0,3.55109150023,0.0,4686500000.0,0.19033868223
MMM,2019-12-31,32136000000.0,-0.0191973142072,17136000000.0,15000000000.0,1911000000.0,7029000000.0,8940000000.0,6174000000.0,0.0,5712000000.0,1130000000.0,4570000000.0,7.81,577000000.0,5.66740728081,0.466766243465,4570000000.0,0.142208115509
MMM,2018-12-31,32765000000.0,0.035000157943,16682000000.0,16083000000.0,1821000000.0,7602000000.0,9423000000.0,7207000000.0,0.0,7000000000.0,1637000000.0,5349000000.0,8.89,588500000.0,5.30398671096,0.490859148482,5349000000.0,0.163253471692
MMM,2017-12-31,31657000000.0,0.0514131987113,16001000000.0,15656000000.0,1850000000.0,6572000000.0,8422000000.0,7820000000.0,322000000.0,7548000000.0,2679000000.0,4858000000.0,7.93,597500000.0,4.57483270769,0.49455096819,4858000000.0,0.153457371198
MMM,2016-12-31,30109000000.0,-0.00545022131202,15040000000.0,15069000000.0,1735000000.0,6111000000.0,8045000000.0,7223000000.0,199000000.0,7053000000.0,1995000000.0,5050000000.0,8.16,604700000.0,4.32843058025,0.50048158358,5050000000.0,0.167723936365
MRK,2019-12-31,46840000000.0,0.107485695371,14112000000.0,32728000000.0,9872000000.0,10615000000.0,20487000000.0,11464000000.0,893000000.0,11464000000.0,1687000000.0,9843000000.0,3.81,2565000000.0,2.20736434109,0.698719043553,9843000000.0,0.210140905209
MRK,2018-12-31,42294000000.0,0.0541348885898,13509000000.0,28785000000.0,9752000000.0,10102000000.0,19854000000.0,8701000000.0,772000000.0,8701000000.0,2508000000.0,6220000000.0,2.32,2664000000.0,1.93057110862,0.680592991914,6220000000.0,0.147065777652
MRK,2017-12-31,40122000000.0,0.0079131810988,12775000000.0,27347000000.0,10208000000.0,9830000000.0,20038000000.0,6521000000.0,754000000.0,6521000000.0,4103000000.0,2394000000.0,0.87,2730000000.0,1.88027656477,0.681596131798,2394000000.0,0.0596680125617
MRK,2016-12-31,39807000000.0,0.00782318092055,13891000000.0,25916000000.0,10124000000.0,9762000000.0,19886000000.0,4659000000.0,693000000.0,4659000000.0,718000000.0,3920000000.0,1.41,2766000000.0,1.83853606028,0.651041274148,3920000000.0,0.0984751425629
MSFT,2019-06-30,1.25843e+11,0.140295396883,42910000000.0,82933000000.0,16876000000.0,23098000000.0,39974000000.0,42959000000.0,2686000000.0,15799000000.0,4448000000.0,39240000000.0,5.06,7673000000.0,1.78137495163,0.659019572006,39240000000.0,0.311817105441
MSFT,2018-06-30,1.1036e+11,0.226903835464,38353000000.0,72007000000.0,14726000000.0,22223000000.0,36949000000.0,35058000000.0,2733000000.0,11527000000.0,19903000000.0,16571000000.0,2.13,7700000000.0,1.62933025404,0.652473722363,16571000000.0,0.150154041319
MSFT,2017-06-30,89950000000.0,0.0542662916081,34261000000.0,55689000000.0,13037000000.0,20020000000.0,33057000000.0,22326000000.0,2222000000.0,453000000.0,1945000000.0,21204000000.0,2.71,7746000000.0,1.51238508682,0.619110617009,21204000000.0,0.235730961645
MSFT,2016-06-30,85320000000.0,-0.0882667236589,32780000000.0,52540000000.0,11988000000.0,19260000000.0,31248000000.0,20182000000.0,1243000000.0,-325000000.0,2953000000.0,16798000000.0,2.1,7925000000.0,1.3735180332,0.615799343647,16798000000.0,0.196882325363
NKE,2019-05-31,39117000000.0,0.0747314339094,21643000000.0,17474000000.0,0.0,12702000000.0,12702000000.0,4801000000.0,0.0,4801000000.0,772000000.0,4029000000.0,2.49,1579700000.0,0.823035096391,0.446711148605,4029000000.0,0.102998696219
NKE,2018-05-31,36397000000.0,0.0595924308588,20441000000.0,15956000000.0,0.0,11511000000.0,11511000000.0,4325000000.0,0.0,4325000000.0,2392000000.0,1933000000.0,1.17,1623800000.0,0.749201374239,0.438387779213,1933000000.0,0.053108772701
NKE,2017-05-31,34350000000.0,0.0609710896961,19038000000.0,15312000000.0,0.0,10563000000.0,10563000000.0,4886000000.0,0.0,4886000000.0,646000000.0,4240000000.0,2.51,1657800000.0,0.669621749409,0.44576419214,4240000000.0,0.123435225619
NKE,2016-05-31,32376000000.0,0.0580046403712,17405000000.0,14971000000.0,0.0,10469000000.0,10469000000.0,4623000000.0,0.0,4623000000.0,863000000.0,3760000000.0,2.16,1697900000.0,0.586513629842,0.462410427477,3760000000.0,0.116135408945
PFE,2019-12-31,51750000000.0,-0.0353607843868,10219000000.0,41531000000.0,8650000000.0,14350000000.0,23000000000.0,17682000000.0,1574000000.0,17682000000.0,1384000000.0,16273000000.0,2.87,5569000000.0,1.44035242291,0.802531400966,16273000000.0,0.31445410628
PFE,2018-12-31,53647000000.0,0.0209530696913,11248000000.0,42399000000.0,8006000000.0,14455000000.0,22461000000.0,11885000000.0,1316000000.0,11885000000.0,706000000.0,11153000000.0,1.87,5872000000.0,1.34850259327,0.790333103435,11153000000.0,0.20789606129
PFE,2017-12-31,52546000000.0,-0.00526275935181,11240000000.0,41306000000.0,7657000000.0,14784000000.0,22441000000.0,12305000000.0,1270000000.0,12305000000.0,-9049000000.0,21308000000.0,3.52,5970000000.0,1.28573786728,0.786092185894,21308000000.0,0.405511361474
PFE,2016-12-31,52824000000.0,0.0813289390186,12329000000.0,40495000000.0,7872000000.0,14837000000.0,22709000000.0,8351000000.0,1186000000.0,8351000000.0,1123000000.0,7215000000.0,1.17,6089000000.0,1.20896249391,0.766602301984,7215000000.0,0.13658564289
PG,2019-06-30,67684000000.0,0.0127483840077,34768000000.0,32916000000.0,1900000000.0,19084000000.0,20984000000.0,5487000000.0,509000000.0,6069000000.0,2103000000.0,3897000000.0,1.43,2503600000.0,2.95254971451,0.486318775486,3897000000.0,0.0575763843744
PG,2018-06-30,66832000000.0,0.0272679762673,34268000000.0,32564000000.0,1900000000.0,18853000000.0,20753000000.0,13711000000.0,506000000.0,13326000000.0,3465000000.0,9750000000.0,3.67,2529300000.0,2.75153385779,0.487251615992,9750000000.0,0.145888197271
PG,2017-06-30,65058000000.0,-0.00369071501861,32535000000.0,32523000000.0,1900000000.0,18568000000.0,20468000000.0,13955000000.0,465000000.0,13257000000.0,3063000000.0,15326000000.0,5.59,2598100000.0,2.64049043935,0.499907774601,15326000000.0,0.235574410526
PG,2016-06-30,65299000000.0,-0.143945253608,32909000000.0,32390000000.0,1900000000.0,18949000000.0,20849000000.0,13441000000.0,579000000.0,13369000000.0,3342000000.0,10508000000.0,3.69,2698900000.0,2.61425959781,0.496025972833,10508000000.0,0.160921300479
TRV,2018-12-31,30282000000.0,0.0477475607224,18291000000.0,11991000000.0,0.0,4297000000.0,4297000000.0,2961000000.0,352000000.0,2961000000.0,438000000.0,2523000000.0,9.28,267400000.0,3.01704966642,0.395977808599,2523000000.0,0.0833168218744
TRV,2017-12-31,28902000000.0,0.0462262443439,17467000000.0,11435000000.0,0.0,4170000000.0,4170000000.0,2730000000.0,369000000.0,2730000000.0,674000000.0,2056000000.0,7.33,276000000.0,2.81765972721,0.395647360044,2056000000.0,0.0711369455401
TRV,2016-12-31,27625000000.0,0.0307835820896,15070000000.0,12555000000.0,0.0,4154000000.0,4154000000.0,4053000000.0,363000000.0,4053000000.0,1039000000.0,3014000000.0,10.28,288100000.0,2.60137457045,0.454479638009,3014000000.0,0.109104072398
TRV,2015-12-31,26800000000.0,-0.0133274427509,13723000000.0,13077000000.0,0.0,4079000000.0,4079000000.0,4740000000.0,373000000.0,4740000000.0,1301000000.0,3439000000.0,10.88,310600000.0,2.3542529468,0.487947761194,3439000000.0,0.128320895522
UNH,2019-12-31,2.42155e+11,0.0703125345308,28117000000.0,2.14038e+11,0.0,35193000000.0,35193000000.0,19685000000.0,1704000000.0,17981000000.0,3742000000.0,13839000000.0,14.33,951000000.0,4.07039337474,0.883888418575,13839000000.0,0.0571493464929
UNH,2018-12-31,2.26247e+11,0.124717263458,26998000000.0,1.99249e+11,0.0,34074000000.0,34074000000.0,17344000000.0,1400000000.0,15944000000.0,3562000000.0,11986000000.0,12.19,963000000.0,3.37741607325,0.880670240931,11986000000.0,0.0529774980442
UNH,2017-12-31,2.01159e+11,0.0882871672798,24112000000.0,1.77047e+11,0.0,29557000000.0,29557000000.0,15209000000.0,1186000000.0,14023000000.0,3200000000.0,10558000000.0,10.72,964000000.0,2.8152284264,0.880134619878,10558000000.0,0.0524858445309
UNH,2016-12-31,1.8484e+11,0.176523006613,24416000000.0,1.60424e+11,0.0,28401000000.0,28401000000.0,12930000000.0,1067000000.0,11863000000.0,4790000000.0,7017000000.0,7.25,952000000.0,2.33574380165,0.867907379355,7017000000.0,0.037962562216
UTX,2018-12-31,66501000000.0,0.111369219714,36754000000.0,29747000000.0,2462000000.0,7066000000.0,8763000000.0,8553000000.0,1038000000.0,8280000000.0,2626000000.0,5269000000.0,6.5,800400000.0,2.67868164424,0.447316581706,5269000000.0,0.0792318912498
UTX,2017-12-31,59837000000.0,0.045297323737,31027000000.0,28810000000.0,2387000000.0,6183000000.0,8570000000.0,8672000000.0,909000000.0,7763000000.0,2843000000.0,4552000000.0,5.7,790000000.0,2.59541984733,0.481474672861,4552000000.0,0.0760733325534
UTX,2016-12-31,57244000000.0,0.0204285357767,30325000000.0,26919000000.0,2337000000.0,6060000000.0,8397000000.0,8172000000.0,1039000000.0,7133000000.0,1697000000.0,5055000000.0,6.12,818200000.0,2.50453940201,0.470250157222,5055000000.0,0.0883061980295
UTX,2015-12-31,56098000000.0,-0.138279569892,29771000000.0,26327000000.0,2279000000.0,5886000000.0,7552000000.0,7291000000.0,0.0,6467000000.0,2111000000.0,7608000000.0,8.61,872700000.0,2.47282608696,0.469303718493,7608000000.0,0.135619808193
V,2019-09-30,22977000000.0,0.114901256732,0.0,0.0,721000000.0,1196000000.0,5212000000.0,15001000000.0,0.0,14884000000.0,2804000000.0,12080000000.0,5.32,1742000000.0,0.998679577465,0.0,12080000000.0,0.525743134439
V,2018-09-30,20609000000.0,0.122616842793,0.0,0.0,686000000.0,1145000000.0,4691000000.0,12954000000.0,0.0,12806000000.0,2505000000.0,10301000000.0,4.42,1792000000.0,0.823529411765,0.0,10301000000.0,0.499830171284
V,2017-09-30,18358000000.0,0.217212571277,0.0,0.0,620000000.0,1060000000.0,4047000000.0,12144000000.0,0.0,8035000000.0,4995000000.0,6699000000.0,2.8,1845000000.0,0.659290187891,0.0,6699000000.0,0.364909031485
V,2016-09-30,15082000000.0,0.0865994236311,0.0,0.0,538000000.0,796000000.0,3464000000.0,7883000000.0,0.0,5607000000.0,2021000000.0,5991000000.0,2.48,1906000000.0,0.559237779619,0.0,5991000000.0,0.397228484286
VZ,2018-12-31,1.30863e+11,0.0383150578415,23323000000.0,1.0754e+11,0.0,31083000000.0,31083000000.0,22278000000.0,4833000000.0,19623000000.0,3584000000.0,15528000000.0,3.76,4128000000.0,2.36495643756,0.821775444549,15528000000.0,0.118658444327
VZ,2017-12-31,1.26034e+11,0.000428639466582,22147000000.0,1.03887e+11,0.0,30110000000.0,30110000000.0,27414000000.0,4733000000.0,20594000000.0,-9956000000.0,30101000000.0,7.36,4084000000.0,2.31645879188,0.824277575892,30101000000.0,0.238832378565
VZ,2016-12-31,1.2598e+11,-0.0428506306033,22238000000.0,1.03742e+11,0.0,31569000000.0,31569000000.0,27059000000.0,4376000000.0,20986000000.0,7378000000.0,13127000000.0,3.21,4080000000.0,2.26676456192,0.823479917447,13127000000.0,0.104199079219
VZ,2015-12-31,1.3162e+11,0.0357336774762,23119000000.0,1.08501e+11,0.0,29986000000.0,29986000000.0,33060000000.0,4920000000.0,28240000000.0,9865000000.0,17879000000.0,4.37,4085000000.0,2.08600048864,0.824350402674,17879000000.0,0.135838018538
WBA,2019-08-31,1.36866e+11,0.040513315645,1.0679e+11,30076000000.0,0.0,25242000000.0,25242000000.0,4998000000.0,704000000.0,4527000000.0,588000000.0,3982000000.0,4.31,921500000.0,1.77910124526,0.219747782503,3982000000.0,0.029094150483
WBA,2018-08-31,1.31537e+11,0.112702387196,1.00745e+11,30792000000.0,0.0,24569000000.0,24569000000.0,6414000000.0,616000000.0,5975000000.0,998000000.0,5024000000.0,5.05,991000000.0,1.74773869347,0.234093829113,5024000000.0,0.038194576431
WBA,2017-08-31,1.18214e+11,0.007354006357,89052000000.0,29162000000.0,0.0,23740000000.0,23740000000.0,5557000000.0,693000000.0,4853000000.0,760000000.0,4078000000.0,3.78,1073500000.0,1.59758924432,0.246688209518,4078000000.0,0.034496760113
WBA,2016-08-31,1.17351e+11,0.134439890182,87477000000.0,29874000000.0,0.0,23910000000.0,23910000000.0,6001000000.0,596000000.0,5144000000.0,997000000.0,4173000000.0,3.82,1083100000.0,1.43249931262,0.25456962446,4173000000.0,0.0355599867065
WMT,2020-01-31,5.23964e+11,0.0185826343057,3.94605e+11,1.29359e+11,0.0,1.08791e+11,1.08791e+11,20568000000.0,0.0,20116000000.0,4915000000.0,14881000000.0,5.19,2850000000.0,2.10878661088,0.246885282195,14881000000.0,0.0284008061623
WMT,2019-01-31,5.14405e+11,0.028104720162,3.85301e+11,1.29104e+11,0.0,1.07147e+11,1.07147e+11,21957000000.0,0.0,11460000000.0,4281000000.0,6670000000.0,2.26,2929000000.0,2.07198641766,0.250977342755,6670000000.0,0.0129664369514
WMT,2018-01-31,5.00343e+11,0.0297814449455,3.73396e+11,1.26947e+11,0.0,1.0651e+11,1.0651e+11,20437000000.0,0.0,15123000000.0,4600000000.0,9862000000.0,3.28,2995000000.0,2.03455149502,0.253719948116,9862000000.0,0.0197104786117
WMT,2017-01-31,4.85873e+11,0.00776346628503,3.61256e+11,1.24617e+11,0.0,1.01853e+11,1.01853e+11,22764000000.0,0.0,20497000000.0,6204000000.0,13643000000.0,4.38,3101000000.0,1.99742930591,0.256480602956,13643000000.0,0.0280793540699
XOM,2019-12-31,2.64938e+11,-0.0870880597632,0.0,0.0,1269000000.0,11398000000.0,50728000000.0,20056000000.0,830000000.0,20056000000.0,5282000000.0,14340000000.0,3.36,4270000000.0,3.43138173302,0.0,14340000000.0,0.0541258709585
XOM,2018-12-31,2.90212e+11,0.187626604682,0.0,0.0,1466000000.0,11480000000.0,50913000000.0,30953000000.0,766000000.0,30953000000.0,9532000000.0,20840000000.0,4.88,4270000000.0,3.23138173302,0.0,20840000000.0,0.071809573691
XOM,2017-12-31,2.44363e+11,0.0808026749936,0.0,0.0,1790000000.0,10956000000.0,46874000000.0,18674000000.0,601000000.0,18674000000.0,-1174000000.0,19710000000.0,4.63,4256000000.0,3.0547462406,0.0,19710000000.0,0.0806586921915
XOM,2016-12-31,2.26094e+11,-0.159133002581,0.0,0.0,1467000000.0,10799000000.0,44193000000.0,7969000000.0,453000000.0,7969000000.0,-406000000.0,7840000000.0,1.88,4177000000.0,2.98132631075,0.0,7840000000.0,0.0346758427911
